ngram,count,z_score
to be,19,4.928898385922262
be contains,1,-0.30412378896591885
contains documentation,1,-0.30412378896591885
documentation for,2,-0.013400334805464332
for all,1,-0.30412378896591885
all the,2,-0.013400334805464332
the attributes,1,-0.30412378896591885
attributes associated,1,-0.30412378896591885
associated with,5,0.8587700276758993
with this,4,0.5680465735154447
this specifies,1,-0.30412378896591885
the indexing,2,-0.013400334805464332
indexing policy,5,0.8587700276758993
policy to,2,-0.013400334805464332
be used,4,0.5680465735154447
used for,3,0.2773231193549902
for one,3,0.2773231193549902
one or,5,0.8587700276758993
or more,5,0.8587700276758993
more supplies,1,-0.30412378896591885
be identifies,1,-0.30412378896591885
identifies the,8,1.7309403901572629
the attribute,5,0.8587700276758993
attribute to,1,-0.30412378896591885
the specifies,2,-0.013400334805464332
the required,2,-0.013400334805464332
required indexing,2,-0.013400334805464332
policy no,2,-0.013400334805464332
no part,3,0.2773231193549902
part of,6,1.1494934818363538
attribute will,1,-0.30412378896591885
will be,3,0.2773231193549902
be indexed,2,-0.013400334805464332
indexed the,1,-0.30412378896591885
attribute supplies,2,-0.013400334805464332
an identifier,2,-0.013400334805464332
identifier the,1,-0.30412378896591885
the value,3,0.2773231193549902
value of,2,-0.013400334805464332
attribute is,2,-0.013400334805464332
is used,2,-0.013400334805464332
used as,1,-0.30412378896591885
as the,1,-0.30412378896591885
to in,1,-0.30412378896591885
a bibliographic,3,0.2773231193549902
bibliographic reference,1,-0.30412378896591885
reference contains,1,-0.30412378896591885
contains the,8,1.7309403901572629
the name,8,1.7309403901572629
name of,8,1.7309403901572629
the authors,1,-0.30412378896591885
authors main,1,-0.30412378896591885
main country,1,-0.30412378896591885
country of,1,-0.30412378896591885
of residence,1,-0.30412378896591885
residence where,1,-0.30412378896591885
where known,2,-0.013400334805464332
known internal,1,-0.30412378896591885
internal identifier,4,0.5680465735154447
identifier year,1,-0.30412378896591885
year of,2,-0.013400334805464332
of birth,1,-0.30412378896591885
birth where,1,-0.30412378896591885
known supplies,1,-0.30412378896591885
supplies information,2,-0.013400334805464332
information about,6,1.1494934818363538
about the,5,0.8587700276758993
the availability,1,-0.30412378896591885
availability of,1,-0.30412378896591885
a text,9,2.0216638443177173
text for,1,-0.30412378896591885
for contains,2,-0.013400334805464332
contains bibliographic,1,-0.30412378896591885
bibliographic description,2,-0.013400334805464332
a source,1,-0.30412378896591885
source text,1,-0.30412378896591885
text in,3,0.2773231193549902
in bibliographic,1,-0.30412378896591885
bibliographic citation,3,0.2773231193549902
citation contains,1,-0.30412378896591885
a looselystructured,1,-0.30412378896591885
looselystructured bibliographic,1,-0.30412378896591885
citation of,1,-0.30412378896591885
of which,2,-0.013400334805464332
which a,3,0.2773231193549902
a code,13,3.1845576609595354
code briefly,12,2.8938342067990805
briefly characterising,12,2.8938342067990805
characterising the,12,2.8938342067990805
the way,12,2.8938342067990805
way the,12,2.8938342067990805
the element,20,5.219621840082717
element content,13,3.1845576609595354
content was,12,2.8938342067990805
originally bold,12,2.8938342067990805
bold weight,12,2.8938342067990805
weight font,12,2.8938342067990805
font boxed,12,2.8938342067990805
boxed superscript,12,2.8938342067990805
superscript italic,24,6.382515656724535
italic and,24,6.382515656724535
and bold,12,2.8938342067990805
bold italic,12,2.8938342067990805
italic superscript,12,2.8938342067990805
italic subscript,12,2.8938342067990805
subscript italic,12,2.8938342067990805
italic font,12,2.8938342067990805
font italic,12,2.8938342067990805
and underlined,12,2.8938342067990805
underlined subscript,12,2.8938342067990805
subscript centrealigned,12,2.8938342067990805
centrealigned roman,12,2.8938342067990805
roman within,12,2.8938342067990805
